title,published_at,domain,url,votes,timestamp_logged
Gold Signals Dollar Collapse! | Why Bitcoin is Set to EXPLODE,2025-04-22T20:47:12Z,youtube.com,https://cryptopanic.com/news/21247542/Gold-Signals-Dollar-Collapse-Why-Bitcoin-is-Set-to-EXPLODE?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
"ZKSync developer, Matter Labs dragged to court for IP theft",2025-04-22T20:45:00Z,cryptopolitan.com,https://cryptopanic.com/news/21247531/ZKSync-developer-Matter-Labs-dragged-to-court-for-IP-theft?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
"Trump Media Inks Deal for ""Made in America"" Crypto ETFs",2025-04-22T20:36:08Z,bankless.com,https://cryptopanic.com/news/21247506/Trump-Media-Inks-Deal-for-Made-in-America-Crypto-ETFs?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
"Fartcoin Surpasses $1 Billion, Flips Bonk to Lead Solana Meme Coins with 148k Holders",2025-04-22T20:35:08Z,thedefiant.io,https://cryptopanic.com/news/21247502/Fartcoin-Surpasses-1-Billion-Flips-Bonk-to-Lead-Solana-Meme-Coins-with-148k-Holders?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
Top 5 Facts About New SEC Boss,2025-04-22T20:34:07Z,u.today,https://cryptopanic.com/news/21247536/Top-5-Facts-About-New-SEC-Boss?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
Bitcoin's Explosive Future: U.S. to Trigger Million Dollar Squeeze!,2025-04-22T20:30:06Z,youtube.com,https://cryptopanic.com/news/21247500/Bitcoins-Explosive-Future-US-to-Trigger-Million-Dollar-Squeeze?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
Solana Whale Bags $153M Profit: 4-Year Staking Play Pays Off Big,2025-04-22T20:27:16Z,cryptonews.com,https://cryptopanic.com/news/21247466/Solana-Whale-Bags-153M-Profit-4-Year-Staking-Play-Pays-Off-Big?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
Trump's Fed Pressure Campaign: Market Chaos Risks & Bitcoin's Opportunity,2025-04-22T20:22:56Z,coinpaper.com,https://cryptopanic.com/news/21247459/Trumps-Fed-Pressure-Campaign-Market-Chaos-Risks-Bitcoins-Opportunity?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
US Recession Odds At Minimum Of 37% After Tariffs And Trade War,2025-04-22T20:14:47Z,investors.catenaa.com,https://cryptopanic.com/news/21241954/US-Recession-Odds-At-Minimum-Of-37-After-Tariffs-And-Trade-War?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
"US Stock Market Sheds $2.5 Trillion, BTC Price Reclaims $88,000",2025-04-22T20:13:30Z,thecoinrepublic.com,https://cryptopanic.com/news/21247400/US-Stock-Market-Sheds-25-Trillion-BTC-Price-Reclaims-88000?mtm_campaign=API-OFA,0,2025-04-22T20:53:14.522338
"DeFi lending protocols gain $2.3B in TVL, fueling token outperformance",2025-04-23T00:15:45Z,cryptoslate.com,https://cryptopanic.com/news/21251680/DeFi-lending-protocols-gain-23B-in-TVL-fueling-token-outperformance?mtm_campaign=API-OFA,0,2025-04-23T00:24:34.636789
"Australian court rules in favor of crypto lender, dismissing ASIC’s appeal",2025-04-23T00:15:17Z,cryptopolitan.com,https://cryptopanic.com/news/21251682/Australian-court-rules-in-favor-of-crypto-lender-dismissing-ASICs-appeal?mtm_campaign=API-OFA,0,2025-04-23T00:24:34.636789
